Название товара,Username,"Локация(страна, город)",Репутация,Заголовок отзывыа,Достоинства,Недостатки,Текст отзыва,Сколько человек рекомендует отзыв,Количество комментариев 
Смартфон Apple iPhone XR,Stasikmardasik,"Россия, Москва",-0,Неплохо,"Дисплей, динамик, восприятие",Одинарная камера,"Телефон купил в подарок жене, сам пользуюсь 10. По-моему, лучший айфон 2018, ибо именно здесь apple сделало классный аккумулятор. XR держит максимальную зарядку, которая существовала у айфона. ",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,antrovert,"Россия, Москва",-0,"бюджетный, но крутой","не глючит, быстрый и функциональный,мобильный в обращении, поддержка eSIM","нет 3D touch, камера 13м, иногда бывают несколько секундные сбои","Недавно купил этот телефон, но он правда стоит того. Новые технологии, не зависает. Для творческой работы он подходит и для игр тоже, мощнее чем некоторые ноутбуки. Камера как у айфона семь, но там добавились новые функции. игры со светом в портрете или как менять приложения просто свайпом влево. Быстро открывает приложения. увеличена производительность телефона и качество. телефон дорогой и не зря же, ведь это новые технологии и новые процессоры. стоит покупать его, это уже вам решать. Технология новая, но качественная и тем она оправдывает свою цену. Техникой Apple пользуюсь давно и лна меня еще ни разу не подводила.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Margo790m790,"Россия, Нижний Новгород",-0,"После покупки данного телефона, не могу нарадоваться.",Батарею держит отлично! Нет необходимости подзаряжать в течение дня.,"Были проблемы со шнуром, к компьютеру подключается только с родным.",Очень удобный и быстрый Face ID.,Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Tsupiashchuknika,"Россия, Москва",+1,"Смартфон безумно классный, очень удобно им пользоваться!",1) очень классная Камера 2) удобный широкий экран 3) бюджетная версия айфона Х 4) красивый вид 5) необычность замены кнопки 6) ну а FaceID это сказка,"Есть только 1 минус, заряд аккумулятора в % можно только если смахнуть пальцем вниз из правого угла телефона. Больше минусов нет!","Всем привет! Хочу написать отзыв о смартфоне Apple IPhone ХR. Лично у меня он красного цвета, на 64 ГБ. Цвет и оформление телефона очень крутое. Задняя панель стеклянная, очень красивая и необычная. Отсутствие кнопки никак меня не смутила, ведь эта милая полосочка эффективно заменяет кнопку. Этот телефон очень сильно усовершенствован, что нельзя не похвалить, начиная от удобства кнопки и заканчивая Animoji. Кстати эти милые маски очень весёлые и милые, используя их можно с легкостью снимать себя, даже если ты не в форме или плохо выглядишь. Камера тоже заставит вас радоваться, может заменить некоторые хорошие профессиональные камеры. Ну а FaceID это сказка, очень удобная вещь!)",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,BlogerNastja,"Россия, Москва",+268,Смартфон понравился. Удобный и интуитивный в использовании.,Долго держит заряд. Мне хватает на 2-3 дня. Качество звука и фото отличное.,один раз был «глюк» (подробнее в тексте).,"В общих словах купила данную модель несколько месяцев назад под влиянием моды и не пожалела. Ко всему прочему, мой прошлый телефон постоянно разряжался. Искала именно крупный телефон, так как мне надоело носить с собой и планшет, и телефон. Мне хотелось, чтобы телефон объединял в себе эти два устройства. Размер – 7 x 14,5 см. Наушники стандартные проводные, поэтому для тех, кто хочет модные беспроводные, то придется по",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Данила Парамонов,"Россия, Москва",-0,Очень доволен телефоном,"Большой аккумулятор, мощный процессор","Отсутствие 3D Touch, отсутствие второго модуля камеры","Купил телефон почти сразу после выхода. Очень доволен покупкой. Аккумулятор хорош - с запасом хватает на день. Немного сказывается отсутствие второго модуля камеры - нельзя делать портретную съемку предметов. Iphone XR (По сравнению с XS) может переносить более долгие нагрузки на процессор, производительность падает очень медленно. Я считаю, что из всей серии флагманских Iphone рациональнее всего покупать Iphone XR.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,vradvinsa,"Россия, Москва",+4,Отличный смартфон,"Не зависает, быстрый. Отличная Камера, яркий дисплей, красивый цвет корпуса",не обнаружено,"В мае этого года приобрела новый смартфон от Apple, который находится между моделями X и Xs. Выбор пал на него, так как по функциям телефон почти ничем не отличается от Xs, а портретная съемка даже лучше. В отличие от X, нет никаких проблем с дисплеем, FaceID исправно и быстро работает",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,ArtGor,"Россия, Москва",--30,"Дорог,но своего он стоит.","отличный стереозвук, очень громкие динамики (после 5s непривычно);","-само собой переплата за бренд; -старый блок зарядки на 1 ампер, нет быстрого адаптера зарядки (у китайцев в комплекте), ребята из эпл пора бы задуматься! блок быстрой зарядки оригинальный стоит (без кабеля) почти 4к, кабель еще 1,5 к;","Перешёл с iphone 5s 16 gb, который отслужил верой и правдой 42 месяца, без замены акб, основным критерием была память, выбрал золотую середину 128 gb (на данный момент занято 30гб, установлены пабг, куча различных приложений). Долго думал между новым HUAWEI 30 PRO и Iphone XR, но всё же предпочтение было отдано яблоку, из-за хорошо оптимизированного ПО, китайцы, к большому сожалению, не научились еще делать ПО для раскрытия потенциала телефона, несмотря на ту же разницу в количествах ядер и оперативной памяти 3гб против 8 или 6, айфон всё равно из-за оптимизации - быстрей, все игры на ультра, пабг ультра стоят, телефон не греется. Никаких зависаний, тротлинга не замечено. Много споров о разрешении дисплея, я вам скажу так дисплей очень яркий, цветопередача хорошая, пикселей не видно и поэтому придирки считаю глупыми и необоснованными)) Эффекта ""вау"" с камерой не произошло, несмотря на то, что перешёл с айфона 5s, да камера задняя очень качественно фоткает, качество видео достойное и отличный звук, фронталка тоже гуд, умеет делать размытие (боке), сравнивал качество фото с айфоном 7 и каким-то ксяоми, разница существенная, даже в темноте. ",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,dcdvfb,"Россия, Белгород",-0,Отличный смартфон,"Батарея, камера, производительность, динамики, экран",не было переходника на наушники с разъемом 3.5.,"С iphone 6 plus перешла на iphone XR. Функция Face ID быстрая. После Touch ID кайфую, очень удобно! Хорошо срабатывает в темноте.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Katyaashts,"Россия, Екатеринбург",-0,Отличный смартфон с оригинальным дизайном,"Производительность, камера, удобный интерфейс и красивый дизайн.","Не самая лучшая прочность, отсутствие второго модуля камеры.","Очень практичный и удобный в использовании смартфон с великолепным дизайном. Apple в этот раз сделали довольно приятные и одновременно яркие цвета корпуса, что несомненно радует глаз. Устройство удобно держать в руках, не ощущается «лопатой». Челка совсем не режет глаза, а «широкие» рамки не кажутся такими уж широкими после первого часа использования. Коралловая алюминиевая рамка прекрасно дополняет такого же цвета корпус. ",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,yanetta0401,"Россия, Санкт-Петербург",-0,Я довольна,"все почти класс. Это Камеры, это удобство работы,вместительность, батарея, и оптимизция","Через полгода время заряда понизилось, и также может с частотой раз в месяц глючить( то-есть подвисает экран","Я пользуюсь этим смартфоном с декабря 2018 года, это просто невероятно оптимизированный телефон. Камеры: - фронтальная ( качество как всегда не лучше Android на минималках), а вот основная - это удивительное качество пикселей, телефон здорово передает цвета и четкость изображение, zoom стал немного лучше, что уже здорово радует; так же если Вы вдруг решили отдохнуть на Бали или в Доминиканской республике, где звезды ярко видны на небе( вас порадует съемка- это не проф. но отлично для смартфона).",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Султан Барс,"Казахстан, Павлодар",--14,смартфон XR 256 гб,"функциональный, дизаин",стоимость,"Добрый день! Такой XR 256 гб. приобрел дочери пользуется больше двух месяцев очень удобный и красивый со стороны корпуса, стильный дизайн и многофункциональный смартфон, есть и отпечатка пальцев, памяти вообще много и заряд батареи держаться на долго, качества съёмки видео и фото камеры вообще классно, цвета насыщенные и много фильтров. Игры тянет на отлично поддерживает любые игры. Правда он тяжелее чем остальные смартфоны. И цена данного смартфона приличная. В общем доча довольна своим телефоном и рекомендую покупку такого типа смартфона. Правда когда приобретали смартфон, цвет был только ""корал"".",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Alinaastra97,"Россия, Москва",+3,Лучший телефон для меня,1.Ударопрочный 2. Водонепроницаем 3. Шикарная камера! 4. Красивый 5. Престижный 6. Долго держит зарядку,"Не нашла я минусов, но кроме как недешевая ценна на данную модель! Но поверьте, своих денег стоит!","Очень классный телефон, сразу поразило качество съемки, камера шикарная",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,madevslove,"Украина, Харьков",+11,Оправдания поклонницы андроид-смартфонов,"Автономность, видеосъёмка, стереодинамики","Качество фотокамеры, «вылеты», цена, больше платного контента, чем на андроид","Здравствуйте, уважаемые посетители Отзовика! ",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,ponchelo90,"Италия, udine",+9,очень даже не плохой,"Автономность, цена ,камеры",Габарты,"По сравнению с iphone x больше по габаритам для меня не много не удобно, но я быстро привык.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Finamika,"Россия, Новосибирск",+2,"Лучший, на мой взгляд, из линейки.",Камера. Батарея. Дизайн. Динамики. И все остальное)),Разве что чуть-чуть кусалась цена при покупке. А так нет.,Здравствуйте. Я уже год как пользуюсь своим айфоном и хотел бы поделиться впечатлениями. ,Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,ryzhkova007,"Россия, Екатеринбург",-0,"Телефон прекрасен, достоин похвалы.","Камера, Дисплей, батарея, производительность, стоимость.",Не обнаружено.,"Итак, если вы собираетесь приобрести данный смартфон, то вы не пожалеете. Если вы читаете этот отзыв, то вы уже знакомы с характеристиками смартфона, поэтому заново перечислять я их не буду, а отмечу самое основное. ",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Честный тополь,"Россия, Хабаровск",+5,"Стильно, но без души",Стильно выглядит Отличная камера Водонепронецаемый Большой объем памяти,Цена,"За новым телефоном шла с намерением купить очередной любимый honor, но модели, которой хотелось не было в продаже. Попросила помочь парня за кассой с выбором, сотрудник оказался очень сообразительным и с хорошо подвешанным языком. Консультант присел на уши, расписывая преимущества iPhone XR, предложил затестить и тут я поплыла: отличная камера, водонепроницаемость, большой объем памяти, удобный интерфейс, возможность сопряжения с сопутствующими устройствами, яркий дисплей. Стоимость конечно зашкаливала, но решила, гулять так гулять, живём один раз. Купила. Телефон отличный, но стоимость свою всё же не оправдывает.",Отзыв рекомендуют:1,0
Смартфон Apple iPhone XR,mrzbitchhhh,"Россия, Подольск",--44,Лучший телефон который у меня был,"Отличная камера,яркий экран,хороший динамик,удобное использование жестов",Рамки кажутся чуть толще из за размеров,Приобрёл данный смартфон себе на день рождения.,Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,VadOlekhnovish,"Украина, Харьков",-0,"""Бюджетная"" версия IPhone X","Разнообразие цветов,новый процесор","Все так же не бюджетный,огромные рамки","После довольно успешного смартфона от Apple Iphone X, компания решила выпустить ""бюджетную"" версию нового iphone. На первый взгляд, по дизайну, устройства похожи, но все таки имеют ряд значительных отличий:",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Silyavinwk,"Россия, Москва",--39,Хороший выбор.,долго держит зарядку качественные фото производительность разнообразие цветов корпуса,отсутствие разъема для наушников,"Около 2х месяцев назад я стал обладателем нового телефона от Apple - iphone XR. До этого на протяжении 8 лет я пользовался телефонами на системе Android и был вполне доволен. Но когда очередной телефон устарел и частично стал непригодным к использованию я решил приобрести телефон на операционной системе IOS, зная что продукты торговой марки apple легко и быстро синхронизируются между собой, а для своей работы я использую Macbook Pro.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,abdrakhimova,"Россия, Сургут",-0,"Плюсы XR, которые меня выручают каждый день, читай ниже","Зарядка, камера и цена","Никаких минусов, лишь облегчение жизни","Начну с того что мое знакомство с моделью XR началось после того как предыдущий 6S начал дико зависать и совершенно перестал держать зарядку. Приобретая ХR я даже подумать не могла, что больше никогда в жизни не буду мучаться. Немного опишу то что меня до сих пор радует в телефоне. Во первых это зарядка. Я не подзаряжаю телефон целый день, с учетом того что активно играю, смотрю фильмы и работаю в телефоне. Второе это камера. Невероятная портретка и видео в 4К. И третье это цена. Абсолютно такой же телефон как и модели выше по классу, если рассматривать его с точки зрения среднестатистического пользователя. Не стоит переплачивать. Просто приобретите данную модель и будете счастливы",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,alinabndrnk,"Украина, Днепр",-0,"Отличный телефон, один и лучших,которых мне приходилось пользоваться","Расширение экрана, высокая и быстрая работоспособность процессора, аккуратный дизайн, удобный сёрфинг между программами",минусов нет,"Телефон iPhone XR относительно недавно появился в продажах, да, на него не было такого большого ажиотажа, как допустим, на тот же Айфон Х либо на самый нашумевший айфон 6, но как на мой взгляд, очень недооцененный продукт Эппл. В руке сидит очень удобно, не слишком большой, но и не маленький, с удовольствием смотрю на нем фильмы, использую для работы, пишу много текстов, отличная камера, которая фотографирует не хуже типичного зеркального фотоаппарата, если научится красиво делать съемки, конечно же. Так же формат съемки видео 4к - о нём можно рассказывать долго, но стоит 1 раз увидеть и все вопросы отпадут сами собой :) ",Отзыв рекомендуют:0,1
Смартфон Apple iPhone XR,Liwgt,"Россия, Москва",-0,Лучший телефон всех времён,"Плюсов очень много, цена, выбор, качество, не лагает, пользуюсь год и все в порядке","Минусов как таковых нет, только если садиться быстро после долгого использования айфона","Очень хороший телефон удобный, не большой не маленький, есть много разных цветов, и большой выбор есть благодаря этому, цена меньше чем в остальных, при обновлении не лагает! Многие знакомые, друзья используют именно эту модель и всех все устраивает, у него куча плюсов, даже такие мелочные, как красиво смотреться в руке, ещё есть огромный его плюс это то что он водонепроницаем, один раз пошли с сестрой в бассейн и решили его окунуть, мы испугались, думали все накрылся, а в итоге работал в идеале, из-за того что он сделать не из таких дорогих материалов как другие модели, он не так сильно царапается, у моего знакомого xs айфон, весь в царапинах, у меня xr год и не одной царапины!!!",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,ilyakozak,"Беларусь, Brest",--40,ниче так(),норма так ниче,много примного,Не ведитесь на профанацию компании.,Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Aleksey1122,"Россия, Москва",+5,лучший iphon,"хорошая камера , батарея , производительность",Экран не Очень хорошего разрешения,"Здравствуйте меня зовут Алексей, я менеджер продаж электроники. Сегодня я расскажу вам про Iphone xr. Начнем с его внешнего вида. Смотрится телефон богато, еще плюс этой модели это его возможное количество цветов. ",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,katyonoook,"Россия, Москва",-0,Отличный,-хорошая камера -большой объём памяти -красивый и модныц дизайн дизайн -имеется NFC -удобный интерфейс -много функций -мощная защита от вирусов -доступность аксессуаров -наличие Face-ID(распознавание по лицу),"-тяжёлый вес -цена (около 70 тысяч рублей, если брать с рук)","Пользуюсь всего несколько месяцев, но уже очень довольна. Конечно, ведь у Apple очень хорошее качество. В этом телефоне сочетается всё - хорошая и объёмная память, высокое качество фотографий и много режимов съёмки без потери качества, удобный интерфейс и хорошая операционная система. Так же очень хорошо защищены личные данные.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,No Mercy,"Украина, Киев",+1,Отличный телефон,"Автономность, экран, звук",цена,"Стал счастливым обладателем этого телефона две недели назад. Аппарат реально пушка ракета! Очень шустрый, надежный и красивый. Автономность заслуживает наивысших похвал: полный день при очень активном использовании и два или даже три при умеренных нагрузках. Сначала сомневался из-за отсутствия 3D-касания, но уже через пару дней использования забыл про то, что когда-то им вообще пользовался. Отличный, сбалансированный смартфон. Наличие широких рамок вообще не напрягает. Технические характеристики, материалы, сборка - всё на высоте! Реально классный аппарат, камера огонь. Всем рекомендую это чудо.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,pepe frog,"Россия, Новосибирск",-0,"Телефон идеально подошёл, качество видео отличное, поддерживает игры.","камера, хороший дисплей, apple pay, face ID","много платных приложений, зарядка, один разъем для наушников и зарядки","Пользуюсь телефоном больше года и могу сказать, что покупкой довольна. В сравнении другими марками(Samsung, XiaoMI) работает намного лучше. ",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,dashalov,"Украина, Днепропетровск",+6,"ЧЕСТНЫЙ ОТЗЫВ о айфоне XR, почему не 11?","Красивый, удобный, быстрый, камера невероятная, можно делать фото как на профессиональный фотоаппарат и кайфовать","Их всего два, несущественных : слегка большеват, в сравнении с 6, X ; нужно брать много гиг, 64 особенно для девочек будет маловато, по крайней мере мне","Итак, честный отзыв о айфоне XR, почему я выбрала именно его, а не 11? Есть ли существенная разница и стоит ли переплатить несколько тысяч?",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,matushkin12,"Россия, Ижевск",+6,Отличный и качественный смартфон за очень большие деньги.,"Из плюсов я отметил:отличный экран,хорошая камера,неплохая батарея.",Минусов я не обнаружил.,"Я использовал данный смартфон относительно недолго, но смог отметить для себя плюсы и минусы. Данный смартфон имеет при себе яркий и качественный экран, потрясающую камеру, как основную, так и фронтальную, качественный и громкий динамик. Меня вiphone xr всё устраивало, но всё же есть минусы. Один из них это face id, лично мне данная функция не понравилась и пользоваться ей мне не хотелось.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Irina029,"Россия, Москва",-0,Самый лучший телефон это айфон XR,"Фотки получаются бомбезные, интернет очень быстро работает, выглядит модель айфона очень красиво.",Минусов нету!,"Купила недавно айфон XR, очень рада что обрела его. Выглядит айфон очень красиво, упакован очень хорошо. Айфон XR есть разных цветов жёлтый, белый, коралловый, чёрный, синий и красный. Работает очень хорошо! Не глючит, скачивает приложения очень быстро, Камера волшебная! Фотки получаются качественными. А самое лучшее что он водопроницаемый. Когда приходят сообщения чужой человек не сможет прочитать сообщения, а сможет только владелец айфона. Зарядку держит очень долго, с заряженным телефоном можно ходить весь день. В айфоне XR есть новые, красивые обои на экран блокировки. Интернет на айфоне грузит очен быстро. На айфоне есть Face-ID, лицо узнает с первого раза. Телефон очень удобный! Звук на айфоне отличный! Экран большой. При плохом освещение Камера снимает отлично. Очень рекомендую айфон XR. Я считаю, что это самый лучший телефон.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,KatiNizienko,"Россия, Краснодар",+1,Прекрасный телефон,"Звук, батарея, камера, работа телефона.","Большая цена, которая оправдывает себя","Год назад, я приобрела смартфон Apple IPhone XR. В связи с тем, что по работе мне требуется 80% времени вести деловую переписку, или общаться по телефону, я остаюсь в полном восторге от своего телефона. ",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Topchik01,"Украина, Киев",-0,однозначно правильно купил,"Очень хорошая батарея, мощный процессор A12 BIONIC и цена.","Широкие рамки и вес, на 2020 он достаточно тяжёлый.","Моё мнение таково: телефон однозначно денег стоит. После своего использования (2 месяца) я с уверенностью могу сказать что телефон шикарный. Самое чудо это аккумулятор на 2900 мАч, это целый день автономной работы активного использования. Очень порадовал новый коралловый цвет, именно его я и приобрёл ибо это новый цвет на рынке и выглядит просто шикарно. Конечно есть и недостатки, это широкие рамки которые делают современный смартфон просто каким-то динозавром. Дизайн вообще классный но из-за утолщенных рамок, бровь вообще здоровенной кажется. Короче телефон стоит своих денег однозначно, его может себе позволить практически каждый и даже на 256гб хотя как по мне 128 с головой хватит. Вообщем выбор ваш, но моё предпочтение этому iPhone.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,little-sea-cat,"Россия, Москва",+149,Работа перешла в телефон.,"Время работы, приложения не виснут, скорость работы, размер экрана",нет,"Продукция apple прочно вошла в мою жизнь, но, стоит отметить, что не отношусь к числу тех людей, которые с выходом каждой новой модели бегут ее покупать. Этот телефон приобрела на замену своему apple Iphone SE, поскольку он уже был стареньким и не отвечал всем тем требованиям, которые я выдвигала к смартфону.",Отзыв рекомендуют:3,0
Смартфон Apple iPhone XR,Kristina241117,"Россия, Москва",-0,Очень классно,Высокое качество,Нет,"Купила телефон ещё в прошлом году . Хожу с ним уже год, а он как новенький Долго думала, какой же купить айфон X, Xs или же XR. Ни капельку не жалею о принятии такого решения. Телефон просто безупречный. Многие говорят, что он не стоит своих денег, но я с этим мнение вообще не согласна. Быстро работает, идеальная камера, графика, большой экран. Вообще у меня был до этого 6, и он сломался сразу же после первого падения, но мой XR столько падений пережил. Даже не хочу покупать 11, так как не вижу смысла, если мой телефон и так в отличном состоянии, по нему даже не скажешь, что он у меня уже год, даже чуть больше. Еще самый главный плюс этих телефонов, они же Цветные и это безумно поднимает настроение (хотя я купила чёрный, но очень пожалела, что не взяла красный ). Думаю, через года 2-3, когда буду менять этот телефон, обязательно возьму какой-нибудь цветной.XR держит зарядку намного дольше Xs, с 11 не сравнивала, поэтому утверждать не могу и не буду. Из-за такого большого экрана очень удобно смотреть фильмы, играть в различные игры. Что касается цены, покупала я за 72 тысячи в ноябре 2018 года, почти когда они вышли. Я считаю, что товар, который прослужат мне верой и правдой года 3-4 не жалко отдать 72 тысячи. Я соглашусь, это большое деньги, это дорого, но качество данного товара соответствует своей цене. Так что, не медлите покупайте, не пожалеете",Отзыв рекомендуют:0,1
Смартфон Apple iPhone XR,Rebit,"Россия, Ярославль",-0,Отличный телефон,"Хорошая камера,внешний вид","Цена,нет 3D Touch",Купил неделю назад телефон IPhone XR на 128 гб. Стоит он 55 тысяч рублей в DNS.,Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Qsxcvbnko,"Россия, Тула",-0,Очень годный гаджет,"Камера, разрядка, цена, цвета задней панели","Вес телефона,дисплей","Не давно приобрела себе айфон XR, но изначально хотела 8+. Почему взяла XR, т. к очень красивая задняя панель и большой выбор цветов начиная с белого заканчивая коралловым . этот девайс очень долго держит зарядку мне хватает его на целый день без подзарядки. Что касается дисплея-нареканий нет всё идеально. И всем интересно наверное узнать про камеру, ну тут я отвечу чётко и ясно камера просто шикарная. Что портрет, что просто обычная камера. Качества видео на высоте. Все фото получаются сочными, яркими, насыщенными и чёткими. Что касается размера и т. д телефон очень хорошо лежит в руках, удобный. ну и на последок советую брать всё таки XR",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Тарапунечка,"Россия, Москва",+10,Мой «огрызочек» ))),"Водонепроницаемость корпуса, отличная камера, хорошо держит батарею, удобно «лежит» в руке.","Для среднего покупателя дороговат, при фотографировании синих ламп (например новогодней гирлянды) выдаёт на фото ну очень ядовитый цвет","Сразу напишу: покупкой я осталась довольна, меня телефон устраивает во всем.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,sss969sss,"Россия, Москва",-0,Удобный телефон,Качественная сборка,Немного большие габариты,"Данный телефон появился около полугода назад. Первое на что обратил внимание - это красивый обновленный дизайн. В руке лежит достаточно удобно, но немного большие габариты, хотя со временем привыкаешь. Камера задняя снимает четко, фронтальная чуть похуже. Интерфейс интуитивно понятный, как и большинства моделей этого производителя. Широкий экран с одной стороны плюс при просмотре видео, фото, с другой немного стесняет движение при ношении в кармане брюк.",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Dimaric00,"Россия, Москва",-0,Не плохой аппарат для блогеров,"Камера, экран большой, батарея",Немножко тяжеловат,"Очень качественная камера которая похваляется снимать в хорошем разрешение видио, а фото как на профессиональный фотоаппарат, с удовольствием пользуюсь этим устройством и радуюсь",Отзыв рекомендуют:0,0
Смартфон Apple iPhone XR,Krispetrova,"Россия, Химки",+1,Хороший телефон но дорогой,"Мощность аккумулятора, яркость экрана, фейс айди, камера","Размер телефона, цена","Приобрела телефон честно говоря не глядя повелась на то что это новая модель. После открытия дома коробки была очень неприятно удивлена. Размер телефона значительнее больше чем предыдущая поя модель( был iPhone 7) лично для меня этот факт значительно испортил мнение. Очень не удобно лежит в руке, печатать одной рукой вообще не возможно. Но в тоже время очень порадовал мощный аккумулятор которого спокойной хватает на сутки а то и больше при активном пользовании, камера в сравнение с семеркой вообще пушка, так же очень порадовала функция фейс айди очень удобно. Звук и яркость экрана так же на высшем уровне если сравнивать с семёркой. Вообщем достаточно хороший телефон, если вы любитель больших экранов",Отзыв рекомендуют:0,0
